time_s,ae
0.0,0.010179
0.001,0.010179
0.002,0.009798
0.003,0.009798
0.004,0.009416
0.005,0.009035
0.006,0.008272
0.007,0.007891
0.008,0.007509
0.009,0.007128
0.01,0.006746
0.011,0.005983
0.012,0.00522
0.013,0.004457
0.014,0.004076
0.015,0.003313
0.016,0.00255
0.017,0.002168
0.018,0.001406
0.019,0.000643
0.02,-0.00012
0.021,-0.000883
0.022,-0.001265
0.023,-0.002028
0.024,-0.002409
0.025,-0.002791
0.026,-0.003172
0.027,-0.003554
0.028,-0.003935
0.029,-0.004316
0.03,-0.004316
0.031,-0.004698
0.032,-0.004698
0.033,-0.004698
0.034,-0.005079
0.035,-0.005079
0.036,-0.005079
0.037,-0.005079
0.038,-0.005079
0.039,-0.005079
0.04,-0.005079
0.041,-0.004698
0.042,-0.004698
0.043,-0.004316
0.044,-0.004316
0.045,-0.003935
0.046,-0.003935
0.047,-0.003554
0.048,-0.003172
0.049,-0.002791
0.05,-0.002791
0.051,-0.002409
0.052,-0.002028
0.053,-0.001646
0.054,-0.001265
0.055,-0.000502
0.056,-0.00012
0.057,0.000261
0.058,0.000643
0.059,0.001024
0.06,0.001406
0.061,0.001787
0.062,0.002168
0.063,0.002168
0.064,0.00255
0.065,0.002931
0.066,0.002931
0.067,0.003313
0.068,0.003313
0.069,0.003694
0.07,0.003694
0.071,0.003694
0.072,0.003694
0.073,0.003313
0.074,0.003313
0.075,0.003313
0.076,0.002931
0.077,0.002931
0.078,0.00255
0.079,0.00255
0.08,0.002168
0.081,0.002168
0.082,0.002168
0.083,0.002168
0.084,0.001787
0.085,0.001406
0.086,0.001406
0.087,0.001024
0.088,0.001024
0.089,0.000643
0.09,0.000261
0.091,-0.00012
0.092,-0.00012
0.093,-0.000502
0.094,-0.000502
0.095,-0.000883
0.096,-0.000883
0.097,-0.001265
0.098,-0.001265
0.099,-0.001265
0.1,-0.001265
0.101,-0.001265
0.102,-0.001265
0.103,-0.001265
0.104,-0.001265
0.105,-0.001265
0.106,-0.001265
0.107,-0.000883
0.108,-0.000883
0.109,-0.000883
0.11,-0.000502
0.111,-0.000502
0.112,-0.000502
0.113,-0.000502
0.114,-0.00012
0.115,-0.00012
0.116,-0.00012
0.117,-0.00012
0.118,-0.00012
0.119,-0.00012
0.12,-0.00012
0.121,-0.00012
0.122,-0.00012
0.123,-0.00012
0.124,-0.00012
0.125,-0.00012
0.126,-0.00012
0.127,-0.00012
0.128,-0.00012
0.129,-0.00012
0.13,-0.00012
0.131,-0.00012
0.132,-0.00012
0.133,-0.00012
0.134,-0.00012
0.135,-0.00012
0.136,-0.00012
0.137,-0.00012
0.138,-0.00012
0.139,-0.00012
0.14,-0.00012
0.141,-0.00012
0.142,-0.00012
0.143,-0.00012
0.144,-0.00012
0.145,-0.00012
0.146,-0.00012
0.147,-0.00012
0.148,-0.00012
0.149,-0.00012
0.15,-0.00012
0.151,-0.00012
0.152,-0.00012
0.153,-0.00012
0.154,-0.00012
0.155,-0.00012
0.156,-0.00012
0.157,-0.00012
0.158,-0.00012
0.159,-0.00012
0.16,-0.00012
0.161,-0.00012
0.162,-0.00012
0.163,-0.00012
0.164,-0.00012
0.165,-0.00012
0.166,-0.00012
0.167,-0.00012
0.168,-0.00012
0.169,-0.00012
0.17,-0.00012
0.171,-0.00012
0.172,-0.00012
0.173,-0.00012
0.174,-0.00012
0.175,-0.00012
0.176,-0.00012
0.177,-0.00012
0.178,-0.00012
0.179,-0.00012
0.18,-0.00012
0.181,-0.00012
0.182,-0.00012
0.183,-0.00012
0.184,-0.00012
0.185,-0.00012
0.186,-0.00012
0.187,-0.00012
0.188,-0.00012
0.189,-0.00012
0.19,-0.00012
0.191,-0.00012
0.192,-0.00012
0.193,-0.00012
0.194,-0.00012
0.195,-0.00012
0.196,-0.00012
0.197,-0.00012
0.198,-0.00012
0.199,-0.00012
0.2,-0.00012
0.201,-0.00012
0.202,-0.00012
0.203,-0.00012
0.204,-0.00012
0.205,-0.00012
0.206,-0.00012
0.207,-0.00012
0.208,-0.00012
0.209,-0.00012
0.21,-0.00012
0.211,-0.00012
0.212,-0.00012
0.213,-0.00012
0.214,-0.00012
0.215,-0.00012
0.216,-0.00012
0.217,-0.00012
0.218,-0.00012
0.219,-0.00012
0.22,-0.00012
0.221,-0.00012
0.222,-0.00012
0.223,-0.00012
0.224,-0.00012
0.225,-0.00012
0.226,-0.00012
0.227,-0.00012
0.228,-0.00012
0.229,-0.00012
0.23,-0.00012
0.231,-0.00012
0.232,-0.00012
0.233,-0.00012
0.234,-0.00012
0.235,-0.00012
0.236,-0.00012
0.237,-0.00012
0.238,-0.00012
0.239,-0.00012
0.24,-0.00012
0.241,-0.00012
0.242,-0.00012
0.243,-0.00012
0.244,-0.00012
0.245,-0.00012
0.246,-0.00012
0.247,-0.00012
0.248,-0.00012
0.249,-0.00012
0.25,-0.00012
0.251,-0.00012
0.252,-0.00012
0.253,-0.00012
0.254,-0.00012
0.255,-0.00012
0.256,-0.00012
0.257,-0.00012
0.258,-0.00012
0.259,-0.00012
0.26,-0.00012
0.261,-0.00012
0.262,-0.00012
0.263,-0.00012
0.264,-0.00012
0.265,-0.00012
0.266,-0.00012
0.267,-0.00012
0.268,-0.00012
0.269,-0.00012
0.27,-0.00012
0.271,-0.00012
0.272,-0.00012
0.273,-0.00012
0.274,-0.00012
0.275,-0.00012
0.276,-0.00012
0.277,-0.00012
0.278,-0.00012
0.279,-0.00012
0.28,-0.00012
0.281,-0.00012
0.282,-0.00012
0.283,-0.00012
0.284,-0.00012
0.285,-0.00012
0.286,-0.00012
0.287,-0.00012
0.288,-0.00012
0.289,-0.00012
0.29,-0.00012
0.291,-0.00012
0.292,-0.00012
0.293,-0.00012
0.294,-0.00012
0.295,-0.00012
0.296,-0.00012
0.297,-0.00012
0.298,-0.00012
0.299,-0.00012
0.3,-0.00012
0.301,-0.00012
0.302,-0.00012
0.303,-0.00012
0.304,-0.00012
0.305,-0.00012
0.306,-0.00012
0.307,-0.00012
0.308,-0.00012
0.309,-0.00012
0.31,-0.00012
0.311,-0.00012
0.312,-0.00012
0.313,-0.00012
0.314,-0.00012
0.315,-0.00012
0.316,-0.00012
0.317,-0.00012
