time_s,ae
0.0,0.009608
0.001,0.009608
0.002,0.009226
0.003,0.009226
0.004,0.009226
0.005,0.008845
0.006,0.008463
0.007,0.008082
0.008,0.0077
0.009,0.007319
0.01,0.006937
0.011,0.006174
0.012,0.005793
0.013,0.00503
0.014,0.004267
0.015,0.003886
0.016,0.003123
0.017,0.00236
0.018,0.001597
0.019,0.001215
0.02,0.000452
0.021,-0.000311
0.022,-0.000692
0.023,-0.001455
0.024,-0.001836
0.025,-0.002218
0.026,-0.002981
0.027,-0.003362
0.028,-0.004125
0.029,-0.004507
0.03,-0.004888
0.031,-0.004888
0.032,-0.00527
0.033,-0.00527
0.034,-0.00527
0.035,-0.00527
0.036,-0.00527
0.037,-0.00527
0.038,-0.00527
0.039,-0.00527
0.04,-0.00527
0.041,-0.004888
0.042,-0.004507
0.043,-0.004125
0.044,-0.003744
0.045,-0.003362
0.046,-0.002981
0.047,-0.002599
0.048,-0.002218
0.049,-0.001836
0.05,-0.001836
0.051,-0.001074
0.052,-0.000692
0.053,-0.000311
0.054,7.1e-05
0.055,0.000834
0.056,0.001215
0.057,0.001215
0.058,0.001597
0.059,0.001978
0.06,0.001978
0.061,0.00236
0.062,0.002741
0.063,0.002741
0.064,0.002741
0.065,0.002741
0.066,0.002741
0.067,0.002741
0.068,0.00236
0.069,0.00236
0.07,0.001978
0.071,0.001978
0.072,0.001597
0.073,0.001597
0.074,0.001215
0.075,0.001215
0.076,0.001215
0.077,0.001215
0.078,0.000834
0.079,0.000834
0.08,0.000452
0.081,0.000452
0.082,0.000452
0.083,7.1e-05
0.084,7.1e-05
0.085,7.1e-05
0.086,-0.000311
0.087,-0.000311
0.088,-0.000311
0.089,-0.000311
0.09,-0.000311
0.091,-0.000311
0.092,-0.000311
0.093,-0.000311
0.094,7.1e-05
0.095,7.1e-05
0.096,7.1e-05
0.097,7.1e-05
0.098,7.1e-05
0.099,7.1e-05
0.1,7.1e-05
0.101,7.1e-05
0.102,7.1e-05
0.103,7.1e-05
0.104,7.1e-05
0.105,7.1e-05
0.106,7.1e-05
0.107,7.1e-05
0.108,7.1e-05
0.109,7.1e-05
0.11,7.1e-05
0.111,7.1e-05
0.112,7.1e-05
0.113,7.1e-05
0.114,7.1e-05
0.115,7.1e-05
0.116,7.1e-05
0.117,7.1e-05
0.118,7.1e-05
0.119,7.1e-05
0.12,7.1e-05
0.121,7.1e-05
0.122,7.1e-05
0.123,7.1e-05
0.124,7.1e-05
0.125,7.1e-05
0.126,7.1e-05
0.127,7.1e-05
0.128,7.1e-05
0.129,7.1e-05
0.13,7.1e-05
0.131,7.1e-05
0.132,7.1e-05
0.133,7.1e-05
0.134,7.1e-05
0.135,7.1e-05
0.136,7.1e-05
0.137,7.1e-05
0.138,7.1e-05
0.139,7.1e-05
0.14,7.1e-05
0.141,7.1e-05
0.142,7.1e-05
0.143,7.1e-05
0.144,7.1e-05
0.145,7.1e-05
0.146,7.1e-05
0.147,7.1e-05
0.148,7.1e-05
0.149,7.1e-05
0.15,7.1e-05
0.151,7.1e-05
0.152,7.1e-05
0.153,7.1e-05
0.154,7.1e-05
0.155,7.1e-05
0.156,7.1e-05
0.157,7.1e-05
0.158,7.1e-05
0.159,7.1e-05
0.16,7.1e-05
0.161,7.1e-05
0.162,7.1e-05
0.163,7.1e-05
0.164,7.1e-05
0.165,7.1e-05
0.166,7.1e-05
0.167,7.1e-05
0.168,7.1e-05
0.169,7.1e-05
0.17,7.1e-05
0.171,7.1e-05
0.172,7.1e-05
0.173,7.1e-05
0.174,7.1e-05
0.175,7.1e-05
0.176,7.1e-05
0.177,7.1e-05
0.178,7.1e-05
0.179,7.1e-05
0.18,7.1e-05
0.181,7.1e-05
0.182,7.1e-05
0.183,7.1e-05
0.184,7.1e-05
0.185,7.1e-05
0.186,7.1e-05
0.187,7.1e-05
0.188,7.1e-05
0.189,7.1e-05
0.19,7.1e-05
0.191,7.1e-05
0.192,7.1e-05
0.193,7.1e-05
0.194,7.1e-05
0.195,7.1e-05
0.196,7.1e-05
0.197,7.1e-05
0.198,7.1e-05
0.199,7.1e-05
0.2,7.1e-05
0.201,7.1e-05
0.202,7.1e-05
0.203,7.1e-05
0.204,7.1e-05
0.205,7.1e-05
0.206,7.1e-05
0.207,7.1e-05
0.208,7.1e-05
0.209,7.1e-05
0.21,7.1e-05
0.211,7.1e-05
0.212,7.1e-05
0.213,7.1e-05
0.214,7.1e-05
0.215,7.1e-05
0.216,7.1e-05
0.217,7.1e-05
0.218,7.1e-05
0.219,7.1e-05
0.22,7.1e-05
0.221,7.1e-05
0.222,7.1e-05
0.223,7.1e-05
0.224,7.1e-05
0.225,7.1e-05
0.226,7.1e-05
0.227,7.1e-05
0.228,7.1e-05
0.229,7.1e-05
0.23,7.1e-05
0.231,7.1e-05
0.232,7.1e-05
0.233,7.1e-05
0.234,7.1e-05
0.235,7.1e-05
0.236,7.1e-05
0.237,7.1e-05
0.238,7.1e-05
0.239,7.1e-05
0.24,7.1e-05
0.241,7.1e-05
0.242,7.1e-05
0.243,7.1e-05
0.244,7.1e-05
0.245,7.1e-05
0.246,7.1e-05
0.247,7.1e-05
0.248,7.1e-05
0.249,7.1e-05
0.25,7.1e-05
0.251,7.1e-05
0.252,7.1e-05
0.253,7.1e-05
0.254,7.1e-05
0.255,7.1e-05
0.256,7.1e-05
0.257,7.1e-05
0.258,7.1e-05
0.259,7.1e-05
0.26,7.1e-05
