time_s,ae
0.0,0.004267
0.001,0.004267
0.002,0.004267
0.003,0.004267
0.004,0.004267
0.005,0.003886
0.006,0.003886
0.007,0.003886
0.008,0.003886
0.009,0.003504
0.01,0.003504
0.011,0.003123
0.012,0.003123
0.013,0.002741
0.014,0.002741
0.015,0.00236
0.016,0.001978
0.017,0.001597
0.018,0.001215
0.019,0.001215
0.02,0.000834
0.021,0.000452
0.022,7.1e-05
0.023,-0.000311
0.024,-0.000692
0.025,-0.001074
0.026,-0.001455
0.027,-0.001836
0.028,-0.001836
0.029,-0.001836
0.03,-0.002218
0.031,-0.002218
0.032,-0.002599
0.033,-0.002599
0.034,-0.002599
0.035,-0.002599
0.036,-0.002599
0.037,-0.002599
0.038,-0.002599
0.039,-0.002599
0.04,-0.002599
0.041,-0.002599
0.042,-0.002599
0.043,-0.002599
0.044,-0.002599
0.045,-0.002218
0.046,-0.002218
0.047,-0.002218
0.048,-0.001836
0.049,-0.001836
0.05,-0.001836
0.051,-0.001836
0.052,-0.001455
0.053,-0.001455
0.054,-0.001074
0.055,-0.001074
0.056,-0.000692
0.057,-0.000692
0.058,-0.000692
0.059,-0.000311
0.06,-0.000311
0.061,-0.000311
0.062,-0.000311
0.063,-0.000311
0.064,-0.000311
0.065,-0.000311
0.066,-0.000311
0.067,-0.000692
0.068,-0.000692
0.069,-0.000692
0.07,-0.000692
0.071,-0.000692
0.072,-0.000692
0.073,-0.001074
0.074,-0.001074
0.075,-0.001074
0.076,-0.001074
0.077,-0.001074
0.078,-0.001074
0.079,-0.001074
0.08,-0.001074
0.081,-0.000692
0.082,-0.000692
0.083,-0.000692
0.084,-0.000692
0.085,-0.000692
0.086,-0.000692
0.087,-0.000692
0.088,-0.000692
0.089,-0.000692
0.09,-0.000692
0.091,-0.000692
0.092,-0.000692
0.093,-0.000692
0.094,-0.000692
0.095,-0.000692
0.096,-0.000692
0.097,-0.000692
0.098,-0.000692
0.099,-0.000692
0.1,-0.000692
0.101,-0.000692
0.102,-0.000692
0.103,-0.000692
0.104,-0.000692
0.105,-0.000692
0.106,-0.000692
0.107,-0.000692
0.108,-0.000692
0.109,-0.000692
0.11,-0.000692
0.111,-0.000692
0.112,-0.000692
0.113,-0.000692
0.114,-0.000692
0.115,-0.000692
0.116,-0.000692
0.117,-0.000692
0.118,-0.000692
0.119,-0.000692
0.12,-0.000692
0.121,-0.000692
0.122,-0.000692
0.123,-0.000692
0.124,-0.000692
0.125,-0.000692
0.126,-0.000692
0.127,-0.000692
0.128,-0.000692
0.129,-0.000692
0.13,-0.000692
0.131,-0.000692
0.132,-0.000692
0.133,-0.000692
0.134,-0.000692
0.135,-0.000692
0.136,-0.000311
0.137,-0.000311
0.138,-0.000311
0.139,-0.000311
0.14,-0.000311
0.141,-0.000311
0.142,-0.000311
0.143,-0.000311
0.144,-0.000311
0.145,-0.000311
0.146,-0.000311
0.147,-0.000311
0.148,-0.000311
0.149,-0.000311
0.15,-0.000311
0.151,-0.000311
0.152,-0.000311
0.153,-0.000311
0.154,-0.000311
0.155,-0.000311
0.156,-0.000311
0.157,-0.000311
0.158,-0.000311
0.159,-0.000311
0.16,-0.000311
0.161,-0.000311
0.162,-0.000311
0.163,-0.000311
0.164,-0.000311
0.165,-0.000311
0.166,-0.000311
0.167,-0.000311
0.168,-0.000311
0.169,-0.000311
0.17,-0.000311
0.171,-0.000311
0.172,-0.000311
0.173,-0.000311
0.174,-0.000311
0.175,-0.000311
0.176,-0.000311
0.177,-0.000311
0.178,-0.000311
0.179,-0.000311
0.18,-0.000311
0.181,-0.000311
0.182,-0.000311
0.183,-0.000311
0.184,-0.000311
0.185,-0.000311
0.186,-0.000311
0.187,-0.000311
0.188,-0.000311
0.189,-0.000311
0.19,-0.000311
0.191,-0.000311
0.192,-0.000311
0.193,-0.000311
0.194,-0.000311
0.195,-0.000311
0.196,-0.000311
0.197,-0.000311
0.198,-0.000311
0.199,-0.000311
0.2,-0.000311
0.201,-0.000311
0.202,-0.000311
0.203,-0.000311
0.204,-0.000311
0.205,-0.000311
0.206,-0.000311
0.207,-0.000311
0.208,7.1e-05
0.209,7.1e-05
0.21,7.1e-05
0.211,7.1e-05
0.212,7.1e-05
0.213,7.1e-05
0.214,7.1e-05
0.215,7.1e-05
0.216,7.1e-05
0.217,0.000452
0.218,0.000452
0.219,0.000452
0.22,0.000452
0.221,0.000452
0.222,0.000452
0.223,0.000834
0.224,0.000834
0.225,0.000834
0.226,0.000834
0.227,0.000834
0.228,0.001215
0.229,0.001215
0.23,0.001215
0.231,0.001215
0.232,0.001215
0.233,0.001215
0.234,0.001215
0.235,0.001215
0.236,0.001215
0.237,0.001215
0.238,0.001215
0.239,0.001215
0.24,0.001215
0.241,0.001215
0.242,0.000834
0.243,0.000834
0.244,0.000834
0.245,0.000834
0.246,0.000834
0.247,0.000834
0.248,0.000834
0.249,0.000834
0.25,0.000834
0.251,0.000834
0.252,0.000834
0.253,0.000834
0.254,0.000834
0.255,0.000834
0.256,0.000834
0.257,0.000834
0.258,0.000834
0.259,0.000834
0.26,0.000834
0.261,0.000834
0.262,0.000834
0.263,0.000834
0.264,0.000834
0.265,0.000834
0.266,0.000834
0.267,0.000834
0.268,0.000834
0.269,0.000834
0.27,0.000834
0.271,0.000834
0.272,0.000834
0.273,0.000834
0.274,0.000834
0.275,0.000834
0.276,0.000834
0.277,0.000834
0.278,0.000834
0.279,0.000834
0.28,0.000834
0.281,0.000834
0.282,0.000834
0.283,0.000834
0.284,0.000834
0.285,0.000834
0.286,0.000834
0.287,0.000452
0.288,0.000452
0.289,0.000452
0.29,0.000452
0.291,0.000452
0.292,0.000452
0.293,0.000452
0.294,0.000452
0.295,0.000452
0.296,0.000452
0.297,0.000452
0.298,0.000452
0.299,0.000452
0.3,0.000452
0.301,0.000452
0.302,7.1e-05
0.303,7.1e-05
0.304,7.1e-05
0.305,7.1e-05
0.306,7.1e-05
0.307,7.1e-05
0.308,7.1e-05
0.309,7.1e-05
0.31,7.1e-05
0.311,-0.000311
0.312,-0.000311
0.313,-0.000311
0.314,-0.000311
0.315,-0.000311
0.316,-0.000311
0.317,-0.000311
0.318,-0.000692
0.319,-0.000692
0.32,-0.000692
0.321,-0.000692
0.322,-0.000692
0.323,-0.000692
0.324,-0.000692
0.325,-0.000692
0.326,-0.000692
0.327,-0.001074
0.328,-0.001074
0.329,-0.001074
0.33,-0.001074
0.331,-0.001074
0.332,-0.000692
0.333,-0.000692
0.334,-0.000692
0.335,-0.000692
0.336,-0.000692
0.337,-0.000692
0.338,-0.000692
0.339,-0.000692
0.34,-0.000692
0.341,-0.000692
0.342,-0.000692
0.343,-0.000692
0.344,-0.000692
0.345,-0.000692
0.346,-0.000692
0.347,-0.000692
0.348,-0.000692
0.349,-0.000692
0.35,-0.000692
0.351,-0.000692
0.352,-0.000692
0.353,-0.000692
0.354,-0.000692
0.355,-0.000692
0.356,-0.000692
0.357,-0.000692
0.358,-0.000692
0.359,-0.000692
0.36,-0.000692
0.361,-0.000692
0.362,-0.000692
0.363,-0.000692
0.364,-0.000692
0.365,-0.000692
0.366,-0.000692
0.367,-0.000692
0.368,-0.000692
0.369,-0.000692
0.37,-0.000692
0.371,-0.000692
0.372,-0.000692
0.373,-0.000692
0.374,-0.000692
0.375,-0.000692
0.376,-0.000692
0.377,-0.000692
0.378,-0.000692
0.379,-0.000692
0.38,-0.000692
0.381,-0.000692
0.382,-0.000692
0.383,-0.000692
0.384,-0.000692
0.385,-0.000692
0.386,-0.000311
0.387,-0.000311
0.388,-0.000311
0.389,-0.000311
0.39,-0.000311
0.391,-0.000311
0.392,-0.000311
0.393,-0.000311
0.394,-0.000311
0.395,-0.000311
0.396,-0.000311
