time_s,u,y,cr,pe,rmse
0.0,0.0,-0.002741,-0.714279,0.252069,0
0.001008,0.0,-0.002741,-0.934067,0.249707,0
0.002005,0.0,-0.002741,-0.494507,0.245174,0
0.003005,0.0,-0.002741,-0.384613,0.238719,0
0.004009,0.0,-0.002741,-0.824173,0.23059,0
0.005004,0.0,-0.002741,-0.604401,0.221023,0
0.006003,0.0,-0.002741,-0.714279,0.210248,0
0.007005,0.0,-0.002741,-1.153839,0.198483,0
0.008006,0.0,-0.002741,-0.494507,0.185937,0
0.009005,0.0,-0.002741,-0.384613,0.172804,0
0.010003,0.0,-0.002741,-0.604401,0.159266,0
0.011004,0.0,-0.002741,-0.714279,0.145492,0
0.012006,0.0,-0.002741,-0.824173,0.131636,0
0.013003,0.0,-0.002741,-0.604401,0.117841,0
0.014003,0.0,-0.002359,-0.384613,0.104231,0
0.015011,0.0,-0.002359,-0.824173,0.09092,0
0.016002,0.0,-0.001978,-0.494507,0.078008,0
0.017,0.0,-0.001978,-0.494507,0.06558,0
0.018012,0.0,-0.001596,-0.384613,0.05371,0
0.01901,0.0,-0.001215,-0.494507,0.042457,0
0.02001,0.0,-0.001215,-0.274719,0.031871,0
0.020999,0.0,-0.000833,-0.714279,0.021991,0
0.02201,0.0,-0.000452,-0.274719,0.012843,0
0.022999,0.0,-7e-05,-0.604401,0.004445,0
0.024001,0.0,0.000311,-0.384613,-0.003194,0
0.025001,0.0,0.000311,-0.164841,-0.010072,0
0.025999,0.0,0.000693,-0.494507,-0.016197,0
0.027008,0.0,0.000693,-0.494507,-0.021581,0
0.028009,0.0,0.001074,-0.384613,-0.026244,0
0.029012,0.0,0.001074,-0.274719,-0.03021,0
0.030004,0.0,0.001455,-0.384613,-0.033507,0
0.031007,0.0,0.001455,-0.274719,-0.036167,0
0.03201,0.0,0.001455,-0.384613,-0.038226,0
0.033012,0.0,0.001455,-0.274719,-0.039722,0
0.034012,0.0,0.001837,-0.384613,-0.040693,0
0.035013,0.0,0.001837,-0.384613,-0.041181,0
0.036012,0.0,0.001837,-0.274719,-0.041227,0
0.03701,0.0,0.001837,-0.274719,-0.040873,0
0.038012,0.0,0.001837,-0.274719,-0.04016,0
0.039012,0.0,0.001837,-0.274719,-0.03913,0
0.040012,0.0,0.001455,-0.494507,-0.037823,0
0.041011,0.0,0.001455,-0.274719,-0.036277,0
0.042011,0.0,0.001455,-0.274719,-0.034531,0
0.043006,0.0,0.001455,-0.384613,-0.03262,0
0.044008,0.0,0.001455,-0.274719,-0.030578,0
0.045004,0.0,0.001074,-0.384613,-0.028438,0
0.046007,0.0,0.001074,-0.274719,-0.026229,0
0.047002,0.0,0.001074,-0.604401,-0.023979,0
